run,key,epsilon,lamb_dfl,c_dfl,lamb_lr,w_dfl,w_lr,trainloss_dfl,trainacc_dfl,traindq_dfl,testloss_dfl,testacc_dfl,testdq_dfl,trainloss_lr,trainacc_lr,traindq_lr,testloss_lr,testacc_lr,testdq_lr
68,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,12.639622060269856,0.0266435163803478,0.6679118056736426,0.615,0.117,0.6639239829823494,0.589,0.082,0.6928493651941853,0.643,0.145,0.6929148159178308,0.629,0.122
69,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,26.4473099497092,0.0188738267765838,0.8278177814392828,0.552,0.054,0.8447228263251498,0.545,0.038,0.6927366501626058,0.658,0.16,0.6927847639522999,0.645,0.138
70,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,116.70330228821638,0.0201599402046178,2.683672656020267,0.599,0.101,2.766916212280454,0.573,0.066,0.6925237626576239,0.744,0.246,0.6925553505260912,0.74,0.233
71,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,121.46546435316024,0.019861520193655,2.3564085290151997,0.602,0.104,2.4891749795223785,0.599,0.092,0.6927635807133833,0.748,0.25,0.6928078215987307,0.714,0.207
72,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,10.637876357919888,0.0199799315781475,0.670948178297989,0.627,0.129,0.6659740549852509,0.633,0.126,0.6929215871133727,0.507,0.009,0.692947283346238,0.502,-0.005
73,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,20.507683143476985,0.0179102568368387,0.7893528861144417,0.489,-0.009,0.7723215479986083,0.499,-0.008,0.6926789731048293,0.758,0.26,0.6927195077778852,0.73,0.223
74,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,149.43533715041855,0.0209126694436939,2.9584911016529385,0.541,0.043,2.8201271272756165,0.573,0.066,0.6925324363178876,0.547,0.049,0.692622788158787,0.541,0.034
75,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,24.345789442631755,0.0208487995312118,1.0967022931819597,0.483,-0.015,1.09936590898501,0.47,-0.037,0.6927610534907298,0.634,0.136,0.6928516735862295,0.586,0.079
76,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,11.372752885539184,0.0221542284551924,0.6897793655759005,0.558,0.06,0.6871283793095172,0.541,0.034,0.6924977313271022,0.746,0.248,0.6925625116529807,0.704,0.197
77,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,120.17458857518382,0.0196067273975383,3.089219625619074,0.562,0.064,3.0009925437622416,0.537,0.03,0.6928849955109155,0.673,0.175,0.6929327489331224,0.645,0.138
78,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,13.509813380162214,0.0215015248473248,0.8301061642025622,0.535,0.037,0.8420465420258374,0.534,0.027,0.6927575286506283,0.581,0.083,0.6927552858506085,0.594,0.087
79,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,26.76495043800665,0.0220632608769258,1.155472482094032,0.572,0.074,1.1999464386598493,0.546,0.039,0.6923995583637133,0.639,0.141,0.6924790562130451,0.612,0.105
80,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,24.914147366552356,0.0233957402073969,0.7883664402368639,0.594,0.096,0.827971706065952,0.577,0.07,0.6924307088763471,0.616,0.118,0.6924971206679436,0.602,0.095
81,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,12.78983475569413,0.0223888549703007,0.6886387682525534,0.589,0.091,0.7161829334364435,0.57,0.063,0.6926777521451906,0.733,0.235,0.6927136074108777,0.716,0.209
82,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,137.80803303827693,0.0232304186768714,2.65020739136777,0.626,0.128,2.9206965972500374,0.582,0.075,0.6926131496413518,0.644,0.146,0.6926793429878155,0.627,0.12
83,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.01,10.0,1161.6516633568508,0.0182229927567545,26.605529684584575,0.519,0.021,27.2959273089352,0.509,0.002,0.6926771755846478,0.681,0.183,0.6927496407877919,0.653,0.146
84,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,112.1620261532204,0.0186617238921812,3.399854834630014,0.512,0.014,3.359076969023422,0.516,0.009,0.6926827016710462,0.587,0.089,0.6927378891374776,0.568,0.061
85,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,29.942300462518897,0.0166841432437136,0.7674430072376434,0.679,0.181,0.8460025838709301,0.644,0.137,0.6925903253118338,0.76,0.262,0.6926394429350367,0.727,0.22
86,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,13.841425345632077,0.0215980882626163,0.7294640430195236,0.57,0.072,0.7247266496086036,0.577,0.07,0.6925229808393927,0.758,0.26,0.6925930790667754,0.727,0.22
87,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,12.19029611692128,0.0211236996426216,0.7696008701272945,0.525,0.027,0.7416084397221178,0.568,0.061,0.6926627334600338,0.735,0.237,0.6926873859624366,0.719,0.212
88,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,21.607871662678825,0.0210519714090016,0.7254036736874141,0.619,0.121,0.7598321604873415,0.597,0.09,0.692692567840435,0.667,0.169,0.692764200444511,0.644,0.137
89,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,99.10182653024265,0.0209083845462485,2.277474021872909,0.608,0.11,2.267591172889962,0.616,0.109,0.6925791464110786,0.768,0.27,0.6926804479270642,0.717,0.21
90,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,14.09255729683906,0.0204174685477057,0.6468426110108969,0.638,0.14,0.6626979049177275,0.622,0.115,0.6925574854701888,0.63,0.132,0.6926286992592524,0.601,0.094
91,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.01,10.0,1187.0973681480152,0.0213490152398268,16.79563406518588,0.682,0.184,16.804590646423737,0.715,0.208,0.6926198746443113,0.726,0.228,0.6926550938593954,0.71,0.203
92,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,12.746209582040022,0.0213050291149696,0.6649526775346085,0.597,0.099,0.6809216187026457,0.591,0.084,0.6925204448467155,0.748,0.25,0.6925684438653966,0.724,0.217
93,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,120.55556353893353,0.0209919781443718,1.946642857944234,0.663,0.165,2.116622909115431,0.626,0.119,0.6926703974515863,0.635,0.137,0.6926819486363446,0.624,0.117
94,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,11.39383683039476,0.0203078590842053,0.7147616118533665,0.532,0.034,0.6962595387636675,0.573,0.066,0.6925597947367239,0.752,0.254,0.6926071452167082,0.712,0.205
95,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,11.992904535479024,0.0226251227317125,0.6623247405249395,0.608,0.11,0.6722669951842488,0.583,0.076,0.6927114050456312,0.706,0.208,0.6926774229300985,0.72,0.213
96,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,31.280602716621782,0.0198627671355372,0.7746317905012476,0.609,0.111,0.7916403537848928,0.626,0.119,0.6926766949826257,0.757,0.259,0.6927027698747238,0.739,0.232
97,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.01,10.0,1425.8811375060052,0.0201648247592012,80.16187919216789,0.496,-0.002,79.94029297551464,0.491,-0.016,0.6926658164005126,0.753,0.255,0.6926720351119265,0.751,0.244
98,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,22.59847415745877,0.0245187870979092,0.8282479362129493,0.617,0.119,0.8779737118465958,0.573,0.066,0.6925064312441557,0.726,0.228,0.6925239559916295,0.722,0.215
